Month,ProductID,Product Name,Size,Gender,Quantity,PrimaryColor,Price,Sale,Profit
1/2022,10002151,T-shirt,XXL,Men,2,Blue,150 ,225 ,150 
1/2022,10015989,Jeans,M ,Women,5, White,60 ,90 ,150 
1/2022,10001111,Dress,M ,Women,4,,100 ,150 ,200 
1/2022,10004151,Jeans,S ,Men,5,Blue,100 ,150 ,250 
1/2022,10007705,Shoes,XL,Women,6, Brown,100 ,150 ,300 
1/2022,10006041,T-shirt,S ,Men,5, Beige,100 ,150 ,250 
1/2022,10009621,Jeans,XL,Women,7,Blue,50 ,75 ,175 
1/2022,10009681,Jeans,XL,Women,7,Blue,20 ,30 ,70 
1/2022,10017569,Dress,S,Women,4, Red,30 ,45 ,60 
1/2022,10001251,Jeans,M ,Women,5, Black,47 ,71 ,118 
1/2022,10003199,T-shirt,S,Girls,3, Yellow,99 ,149 ,149 
1/2022,10017405,Sweater,M ,Unisex,4,Blue,99 ,149 ,198 
1/2022,10013687,T-shirt,XXL,Women,2,Blue,45 ,68 ,45 
1/2022,10015163,Jeans,XL,Men,5, Grey,100 ,150 ,250 
1/2022,1000710,Dress,S,Women,5, Red,214 ,321 ,535 
1/2022,10013541,T-shirt,S,Women,2,Blue,123 ,185 ,123 
1/2022,10002833,Shoes,M ,Boys,3,Blue,15 ,23 ,23 
1/2022,10005915,Sweater,S ,Men,5, Grey,90 ,135 ,225 
1/2022,10002707,Dress,XL,Men,5,Blue,87 ,131 ,218 
1/2022,10012433,Sweater,XXL,Men,5, White,22 ,33 ,55 
1/2022,10012699,Shoes,M ,Unisex,5, Black,34 ,51 ,85 
1/2022,10012851,Dress,M ,Men,5, Gold,55 ,83 ,138 
1/2022,10016755,Shoes,S ,Women,5, Green,91 ,137 ,228 
1/2022,10015159,Shoes,XL,Men,5, Grey,100 ,150 ,250 
1/2022,10013655,T-shirt,S ,Women,3,Blue,200 ,300 ,300 
1/2022,10012821,Jeans,XL,Unisex,4,Blue,150 ,225 ,300 
1/2022,10006073,Shoes,XL,Men,5, Brown,60 ,90 ,150 
1/2022,10013491,Shoes,S,Women,2, Red,100 ,150 ,100 
1/2022,10009773,Sweater,M ,Women,7,Blue,100 ,150 ,350 
1/2022,10009643,Jeans,S,Women,7,Blue,100 ,150 ,350 
1/2022,10015831,T-shirt,M ,Men,5,Blue,100 ,150 ,250 
1/2022,10014675,Sweater,M ,Women,5, Red,50 ,75 ,125 
1/2022,10012761,Dress,S ,Men,5, Black,20 ,30 ,50 
1/2022,10001887,Sweater,XL,Men,5, Platinum,30 ,45 ,75 
1/2022,10003179,T-shirt,XXL,Girls,3,Blue,47 ,71 ,71 
1/2022,10003821,T-shirt,M ,Unisex,5, Gold,99 ,149 ,248 
1/2022,10017017,Dress,M ,Men,5, Black,99 ,149 ,248 
1/2022,10012721,Dress,S ,Unisex,3,Blue,45 ,68 ,68 
1/2022,10003341,Jeans,XL,Girls,4, Red,50 ,75 ,100 
1/2022,10013417,Sweater,S ,Unisex,3,Blue,26 ,39 ,39 
1/2022,10017923,T-shirt,XL,Men,5,Blue,33 ,50 ,83 
1/2022,10013665,T-shirt,XL,Women,3, Red,100 ,150 ,150 
1/2022,10017595,Jeans,S,Men,5,Blue,200 ,300 ,500 
1/2022,10000805,T-shirt,M ,Women,5,,150 ,225 ,375 
1/2022,10012769,Dress,S,Unisex,4, Red,60 ,90 ,120 
1/2022,10007835,Shoes,M ,Women,6, Red,100 ,150 ,300 
1/2022,10012881,Sweater,XXL,Men,5, Black,100 ,150 ,250 
1/2022,10013617,Shoes,XL,Women,3, Red,100 ,150 ,150 
1/2022,10007811,Sweater,S,Women,6, Brown,100 ,150 ,300 
1/2022,10017427,Shoes,S,Unisex,6, Black,50 ,75 ,150 
1/2022,10017899,Dress,M ,Men,4, Yellow,20 ,30 ,40 
1/2022,10017369,Dress,S ,Unisex,5, Grey,30 ,45 ,75 
1/2022,10017671,Jeans,XL,Men,5,Blue,47 ,71 ,118 
1/2022,10007595,Jeans,XXL,Women,6, Green,99 ,149 ,297 
1/2022,10004343,Jeans,M ,Women,5,Blue,99 ,149 ,248 
1/2022,10007683,Shoes,M ,Women,6, Red,45 ,68 ,135 
1/2022,10007801,Shoes,S ,Women,6, Red,50 ,75 ,150 
1/2022,10002181,Shoes,XL,Men,7,Blue,26 ,39 ,91 
1/2022,10012783,Dress,S ,Unisex,4, Pink,33 ,50 ,66 
1/2022,10003387,Jeans,XL,Girls,3,Blue,22 ,33 ,33 
1/2022,10004053,Sweater,XL,Men,5,Blue,100 ,150 ,250 
1/2022,10017211,Shoes,S,Women,5, Yellow,214 ,321 ,535 
1/2022,10003299,Shoes,M ,Boys,3, Red,123 ,185 ,185 
1/2022,10013569,Jeans,S,Women,2, Red,15 ,23 ,15 
1/2022,10017835,Sweater,M ,Men,5,Blue,90 ,135 ,225 
1/2022,10017771,Jeans,M ,Men,5, Red,87 ,131 ,218 
1/2022,10006019,Jeans,S ,Men,5, Brown,22 ,33 ,55 
1/2022,10002825,Jeans,XL,Girls,7,Blue,34 ,51 ,119 
1/2022,10013703,Jeans,XXL,Women,2, Red,55 ,83 ,55 
1/2022,10012713,Sweater,M ,Unisex,4,,91 ,137 ,182 
1/2022,10012875,Sweater,M ,Men,5, Gold,100 ,150 ,250 
1/2022,10015997,Jeans,S ,Women,5, Red,200 ,300 ,500 
1/2022,10012771,Sweater,XL,Unisex,4,,150 ,225 ,300 
1/2022,10013055,Shoes,S ,Women,4, Black,60 ,90 ,120 
1/2022,10003213,Jeans,XL,Boys,3, Red,100 ,150 ,150 
1/2022,10014775,T-shirt,XL,Women,3, Black,100 ,150 ,150 
1/2022,10002337,Shoes,S,Women,2,,100 ,150 ,100 
1/2022,1000745,Dress,M ,Women,4, Silver,100 ,150 ,200 
1/2022,10009685,Shoes,S,Women,7,Blue,50 ,75 ,175 
1/2022,10012429,Dress,M ,Men,5, Black,20 ,30 ,50 
1/2022,10017723,Dress,XXL,Men,5, Pink,30 ,45 ,75 
1/2022,10017855,Jeans,XL,Men,5,Blue,47 ,71 ,118 
1/2022,10013025,T-shirt,S,Women,5, White,99 ,149 ,248 
1/2022,10001211,T-shirt,S,Women,2,,99 ,149 ,99 
1/2022,10006003,Sweater,M ,Men,5, Grey,45 ,68 ,113 
1/2022,10012841,Sweater,S ,Men,4, Silver,100 ,150 ,200 
1/2022,10017423,Sweater,XL,Unisex,6, White,214 ,321 ,642 
1/2022,10000599,Sweater,XXL,Men,5, Khaki,123 ,185 ,308 
1/2022,10002809,T-shirt,M ,Men,1,,15 ,23 ,8 
1/2022,10013641,Shoes,M ,Women,2,Blue,90 ,135 ,90 
1/2022,10000657,T-shirt,S ,Women,4, Burgundy,87 ,131 ,174 
1/2022,10005937,T-shirt,XL,Men,5, Green,22 ,33 ,55 
1/2022,10001573,Shoes,S ,Women,2,,34 ,51 ,34 
1/2022,10003809,T-shirt,XL,Unisex,5, White,55 ,83 ,138 
1/2022,10006069,Sweater,XL,Men,5, Black,91 ,137 ,228 
1/2022,10017501,Shoes,S,Women,5, Red,100 ,150 ,250 
1/2022,10002079,Sweater,M ,Women,7,Blue,200 ,300 ,700 
1/2022,10003807,Dress,S,Unisex,5,Blue,150 ,225 ,375 
1/2022,10004165,Shoes,M ,Men,5,Blue,60 ,90 ,150 
1/2022,10013269,Dress,M ,Men,5, Black,100 ,150 ,250 
1/2022,10006075,Dress,S ,Men,5, Black,100 ,150 ,250 
1/2022,10009637,Sweater,XL,Women,7, White,100 ,150 ,350 
1/2022,10017093,Shoes,XXL,Women,5, Black,100 ,150 ,250 
1/2022,10017355,Jeans,M ,Unisex,5, Mustard,50 ,75 ,125 
1/2022,10017447,Shoes,M ,Unisex,7, White,20 ,30 ,70 
1/2022,10017013,Shoes,S ,Men,5,Blue,30 ,45 ,75 
1/2022,10017053,Shoes,XL,Men,5, Grey,47 ,71 ,118 
1/2022,10017599,T-shirt,S ,Men,5,Blue,99 ,149 ,248 
1/2022,10002785,Shoes,XL,Boys,5, Brown,99 ,149 ,248 
1/2022,1000905,Shoes,XL,Boys,4, Navy,45 ,68 ,90 
1/2022,10001445,Shoes,S,Women,2,,100 ,150 ,100 
1/2022,10013603,Jeans,M ,Women,5, Red,214 ,321 ,535 
1/2022,10013585,T-shirt,S,Women,2, Red,123 ,185 ,123 
1/2022,10012865,Shoes,M ,Men,4, Silver,15 ,23 ,30 
1/2022,10017417,Jeans,XXL,Unisex,7, Black,90 ,135 ,315 
1/2022,1001423,Shoes,XL,Women,5, White,87 ,131 ,218 
1/2022,10017719,Dress,S,Men,5,Blue,22 ,33 ,55 
1/2022,10014659,T-shirt,S,Women,5,Blue,34 ,51 ,85 
1/2022,10003183,T-shirt,M ,Boys,3, Black,55 ,83 ,83 
1/2022,10013567,Dress,S ,Women,2, Lavender,91 ,137 ,91 
1/2022,10001975,Shoes,XL,Women,3, Gold,100 ,150 ,150 
1/2022,10017747,Jeans,XXL,Men,5, Maroon,200 ,300 ,500 
1/2022,10015929,Shoes,M ,Men,5,Blue,150 ,225 ,375 
1/2022,10017913,Sweater,M ,Men,5,Blue,60 ,90 ,150 
1/2022,10004129,T-shirt,S ,Men,5, Grey,100 ,150 ,250 
1/2022,10012919,Dress,XL,Men,5, Beige,100 ,150 ,250 
1/2022,10015983,T-shirt,S ,Women,5, Green,100 ,150 ,250 
1/2022,10014677,Jeans,XL,Women,5, Red,100 ,150 ,250 
1/2022,10009715,Sweater,XL,Women,7, Black,50 ,75 ,175 
1/2022,10012733,Shoes,S,Unisex,4,,20 ,30 ,40 
1/2022,10012349,Sweater,M ,Women,4, Matte,30 ,45 ,60 
1/2022,10017079,Shoes,S,Men,5,Blue,47 ,71 ,118 
1/2022,10002675,Sweater,M ,Women,5, White,99 ,149 ,248 
1/2022,10003177,Jeans,M ,Girls,5, Pink,99 ,149 ,248 
1/2022,10013677,Jeans,S ,Women,3, Red,45 ,68 ,68 
1/2022,1001774,Dress,XL,Men,6, Red,50 ,75 ,150 
1/2022,10012959,Jeans,XXL,Men,5, Silver,26 ,39 ,65 
1/2022,10005885,Dress,M ,Men,5, Yellow,33 ,50 ,83 
1/2022,10012497,Dress,M ,Women,4, White,100 ,150 ,200 
1/2022,10004169,Sweater,S ,Men,5, Black,200 ,300 ,500 
1/2022,10000775,Jeans,XL,Women,5, Red,150 ,225 ,375 
1/2022,10017441,Shoes,S ,Unisex,7, Silver,60 ,90 ,210 
1/2022,10016679,T-shirt,XL,Men,5, Green,100 ,150 ,250 
1/2022,10012371,Shoes,XL,Women,4, Pink,100 ,150 ,200 
1/2022,10012335,Jeans,S,Women,5,,100 ,150 ,250 
1/2022,10001931,Jeans,M ,Men,3,,100 ,150 ,150 
1/2022,10014817,Sweater,S,Women,4, Yellow,50 ,75 ,100 
1/2022,10002341,Sweater,M ,Women,6, Red,20 ,30 ,60 
1/2022,10004325,Jeans,XXL,Women,5, Maroon,30 ,45 ,75 
1/2022,1000717,Jeans,XL,Women,3, Maroon,47 ,71 ,71 
1/2022,10014941,Shoes,S,Women,3, Black,99 ,149 ,149 
1/2022,10000747,Jeans,S,Women,5, White,99 ,149 ,248 
1/2022,10017391,Sweater,M ,Unisex,4,Blue,45 ,68 ,90 
1/2022,10015151,T-shirt,S ,Men,5, Black,50 ,75 ,125 
1/2022,10006081,Sweater,XL,Men,5, Beige,26 ,39 ,65 
1/2022,10017167,T-shirt,XXL,Men,5, Brown,33 ,50 ,83 
1/2022,10017347,Sweater,M ,Unisex,5, Green,22 ,33 ,55 
1/2022,10017031,Shoes,M ,Men,5, Red,100 ,150 ,250 
1/2022,10003277,Jeans,S ,Boys,3, Black,214 ,321 ,321 
1/2022,10017363,Jeans,XL,Unisex,5, Green,123 ,185 ,308 
1/2022,10017439,T-shirt,S ,Unisex,7, Maroon,15 ,23 ,53 
1/2022,10000553,T-shirt,XL,Men,5, Red,90 ,135 ,225 
1/2022,10017481,Sweater,XL,Women,5, Green,87 ,131 ,218 
1/2022,10012373,Jeans,S,Men,5, Maroon,22 ,33 ,55 
1/2022,10012355,Sweater,M ,Women,4, Matte,34 ,51 ,68 
1/2022,10003051,Jeans,S,Girls,3,Blue,55 ,83 ,83 
1/2022,10013691,T-shirt,M ,Women,4, Red,91 ,137 ,182 
1/2022,10017847,T-shirt,M ,Men,5,Blue,100 ,150 ,250 
1/2022,10015167,Jeans,S ,Men,5, Black,200 ,300 ,500 
1/2022,10017043,Sweater,XL,Men,5,Blue,150 ,225 ,375 
1/2022,10016271,Jeans,XXL,Women,6, Pink,60 ,90 ,180 
1/2022,10013487,Dress,M ,Women,2, Red,100 ,150 ,100 
1/2022,10000811,Jeans,M ,Women,5, Brown,100 ,150 ,250 
1/2022,10013707,Jeans,S ,Women,3,Blue,100 ,150 ,150 
1/2022,10015985,T-shirt,XL,Women,5, Burgundy,100 ,150 ,250 
1/2022,10017651,Jeans,S ,Men,5,Blue,50 ,75 ,125 
1/2022,10002753,Dress,XL,Unisex,5, Red,20 ,30 ,50 
1/2022,10017113,T-shirt,XL,Women,5, Black,30 ,45 ,75 
1/2022,10000697,Shoes,S,Women,4, Beige,47 ,71 ,94 
1/2022,10013243,Sweater,M ,Unisex,4, White,99 ,149 ,198 
1/2022,10003303,Sweater,S,Boys,3,Blue,99 ,149 ,149 
1/2022,10013787,Dress,M ,Women,5, Red,45 ,68 ,113 
1/2022,10001425,T-shirt,XXL,Women,7, Black,100 ,150 ,350 
1/2022,10012725,T-shirt,XL,Unisex,4, Red,214 ,321 ,428 
1/2022,10017587,Dress,S,Men,5,Blue,123 ,185 ,308 
1/2022,10014735,Jeans,S,Men,5,,15 ,23 ,38 
1/2022,10013519,T-shirt,M ,Women,2, Red,90 ,135 ,90 
1/2022,10013727,Dress,S ,Women,3,Blue,87 ,131 ,131 
1/2022,10011181,Sweater,XL,Men,5,Blue,22 ,33 ,55 
1/2022,10005911,Dress,XXL,Men,5, Black,34 ,51 ,85 
1/2022,10009771,Shoes,M ,Women,7,Blue,55 ,83 ,193 
1/2022,10012909,Shoes,M ,Men,5,Blue,91 ,137 ,228 
1/2022,10000729,Shoes,S ,Women,5, White,100 ,150 ,250 
1/2022,10005261,Dress,XL,Boys,3,Blue,200 ,300 ,300 
1/2022,10003011,Jeans,S ,Girls,3, Red,150 ,225 ,225 
1/2022,10015913,Shoes,XL,Men,5, Grey,60 ,90 ,150 
1/2022,10012845,Sweater,XL,Men,5, Gold,100 ,150 ,250 
1/2022,10017407,Shoes,S,Unisex,4, Red,100 ,150 ,200 
1/2022,10003085,Shoes,M ,Boys,4, White,100 ,150 ,200 
1/2022,10009711,Shoes,S,Women,7,Blue,100 ,150 ,350 
1/2022,10006049,Shoes,M ,Men,5, Beige,50 ,75 ,125 
1/2022,10015937,Shoes,M ,Women,5, Red,20 ,30 ,50 
1/2022,10017629,Dress,S ,Men,5,Blue,30 ,45 ,75 
1/2022,10004201,Jeans,XL,Men,5, Grey,47 ,71 ,118 
1/2022,10003823,Dress,XXL,Unisex,5,Blue,99 ,149 ,248 
1/2022,10017743,Shoes,M ,Men,5, Grey,99 ,149 ,248 
1/2022,10013421,Sweater,M ,Unisex,3,Blue,45 ,68 ,68 
1/2022,10002767,Dress,S ,Women,5,,100 ,150 ,250 
1/2022,10006053,Jeans,XL,Men,5, Green,214 ,321 ,535 
1/2022,10003439,Shoes,S ,Girls,3,Blue,123 ,185 ,185 
1/2022,10007597,Sweater,XL,Women,6, Red,15 ,23 ,45 
1/2022,10011163,Jeans,XL,Women,5, Red,90 ,135 ,225 
1/2022,10002869,Dress,S,Boys,5, Red,87 ,131 ,218 
1/2022,10003027,Jeans,M ,Boys,3,Blue,22 ,33 ,33 
1/2022,10014845,Dress,S,Women,3,Blue,34 ,51 ,51 
1/2022,10013073,T-shirt,M ,Women,5,Blue,55 ,83 ,138 
1/2022,10000751,Jeans,XXL,Women,5,,91 ,137 ,228 
1/2022,10006039,T-shirt,XL,Men,5, Brown,100 ,150 ,250 
1/2022,10000641,Jeans,S,Men,5, Khaki,200 ,300 ,500 
1/2022,10013523,Shoes,S,Women,4, Red,150 ,225 ,300 
1/2022,10000667,Dress,M ,Women,4, Black,60 ,90 ,120 
1/2022,10013673,Shoes,S ,Women,3, Red,100 ,150 ,150 
1/2022,10002963,Dress,XL,Boys,5,Blue,100 ,150 ,250 
1/2022,1000718,Dress,XXL,Women,2, Gold,100 ,150 ,100 
1/2022,10000281,Jeans,M ,Men,5, White,100 ,150 ,250 
1/2022,10017857,Jeans,M ,Men,5,Blue,50 ,75 ,125 
1/2022,10009743,Dress,S ,Women,7,Blue,20 ,30 ,70 
1/2022,10013425,T-shirt,XL,Unisex,3,Blue,30 ,45 ,45 
1/2022,10013405,Jeans,S ,Unisex,3, Pink,47 ,71 ,71 
1/2022,10016003,Jeans,XL,Women,5,,99 ,149 ,248 
1/2022,10012971,Jeans,XL,Men,5, Silver,99 ,149 ,248 
1/2022,10003597,Shoes,S,Girls,5,Blue,45 ,68 ,113 
1/2022,10001003,Sweater,M ,Women,2, Gold,50 ,75 ,50 
1/2022,10015161,Jeans,S,Men,4,Blue,26 ,39 ,52 
1/2022,10004157,Dress,M ,Men,5, Beige,33 ,50 ,83 
1/2022,10002837,Dress,M ,Boys,4,Blue,100 ,150 ,200 
1/2022,10017415,Dress,S ,Unisex,6, Black,200 ,300 ,600 
1/2022,10012803,Jeans,XL,Unisex,4,Blue,150 ,225 ,300 
1/2022,10003505,Jeans,XXL,Girls,3, Burgundy,60 ,90 ,90 
1/2022,10001527,Dress,M ,Women,2, Rose,100 ,150 ,100 
1/2022,10000215,Jeans,M ,Men,5,Blue,100 ,150 ,250 
1/2022,10003695,Shoes,S ,Men,5, Grey,100 ,150 ,250 
1/2022,10013623,Dress,XL,Women,2, Red,100 ,150 ,100 
1/2022,10006015,Jeans,S ,Men,5, Brown,50 ,75 ,125 
1/2022,10017631,Jeans,XL,Men,5, White,20 ,30 ,50 
1/2022,10007663,Sweater,XL,Women,5, Maroon,30 ,45 ,75 
1/2022,10003899,T-shirt,S,Men,5, White,47 ,71 ,118 
1/2022,10013427,Sweater,M ,Unisex,3,Blue,99 ,149 ,149 
1/2022,10015165,T-shirt,S,Men,5,Blue,99 ,149 ,248 
1/2022,10017163,T-shirt,M ,Men,5, Grey,45 ,68 ,113 
1/2022,10002865,Sweater,XXL,Boys,5, Red,50 ,75 ,125 
1/2022,10013631,Sweater,XL,Women,3, Red,26 ,39 ,39 
1/2022,10012879,Sweater,S,Men,5,Blue,33 ,50 ,83 
1/2022,10003347,Dress,S,Boys,3, Red,22 ,33 ,33 
1/2022,10012863,T-shirt,M ,Men,5, Gold,50 ,75 ,125 
1/2022,10003851,Sweater,S ,Unisex,5, White,22 ,33 ,55 
1/2022,1000894,Dress,XL,Boys,4, Yellow,88 ,132 ,176 
1/2022,10004123,Dress,XXL,Men,5, White,34 ,51 ,85 
1/2022,10012823,T-shirt,M ,Unisex,4, Red,54 ,81 ,108 
1/2022,10007763,Sweater,M ,Women,6, Black,20 ,30 ,60 
1/2022,10012363,Shoes,S ,Women,5,,120 ,180 ,300 
1/2022,10003801,Shoes,XL,Unisex,5, Red,55 ,83 ,138 
1/2022,10009623,Shoes,S ,Women,7,Blue,90 ,135 ,315 
1/2022,1000494,Shoes,XL,Women,5, Black,100 ,150 ,250 
1/2022,10003047,T-shirt,XL,Girls,4,Blue,300 ,450 ,600 
1/2022,10013037,Jeans,S,Women,5,Blue,100 ,150 ,250 
1/2022,10001491,Dress,M ,Women,5,Blue,214 ,321 ,535 
1/2022,10017213,Shoes,S,Women,5, Green,123 ,185 ,308 
1/2022,10003569,T-shirt,M ,Girls,3,Blue,15 ,23 ,23 
1/2022,10013415,Dress,M ,Unisex,3, Black,90 ,135 ,135 
1/2022,10001715,Jeans,S ,Women,2, Gold,87 ,131 ,87 
1/2022,10016713,Jeans,XL,Women,5, Pink,22 ,33 ,55 
1/2022,10003437,Jeans,XXL,Boys,3,Blue,34 ,51 ,51 
1/2022,10018013,Jeans,M ,Men,5,Blue,55 ,83 ,138 
1/2022,10015877,Jeans,M ,Men,5, Grey,91 ,137 ,228 
1/2022,1000709,Shoes,S ,Women,5, Silver,100 ,150 ,250 
1/2022,10006083,Jeans,XL,Men,5, Brown,200 ,300 ,500 
1/2022,10012719,Jeans,S ,Unisex,5, Brown,150 ,225 ,375 
1/2022,10007787,Jeans,XL,Women,5, Beige,60 ,90 ,150 
1/2022,10012759,Dress,XL,Men,5,Blue,100 ,150 ,250 
1/2022,10017011,Sweater,S,Men,5, Maroon,100 ,150 ,250 
1/2022,10000593,Jeans,M ,Men,5, Red,100 ,150 ,250 
1/2022,10017603,Sweater,S,Men,5,Blue,100 ,150 ,250 
1/2022,10001497,Shoes,M ,Men,3,Blue,50 ,75 ,75 
1/2022,10009611,Shoes,XXL,Women,7, Black,20 ,30 ,70 
1/2022,10016983,Shoes,XL,Men,5,Blue,30 ,45 ,75 
1/2022,10016985,Sweater,S,Men,5,Blue,47 ,71 ,118 
1/2022,10003249,T-shirt,S,Girls,3, Red,99 ,149 ,149 
1/2022,10003411,Jeans,M ,Girls,3, Red,99 ,149 ,149 
1/2022,10017503,Dress,S ,Women,5, Red,45 ,68 ,113 
1/2022,10017917,Jeans,XL,Men,5, Red,100 ,150 ,250 
1/2022,10007783,Jeans,XXL,Women,5, Green,214 ,321 ,535 
1/2022,10005971,T-shirt,M ,Men,5, Black,123 ,185 ,308 
1/2022,1001061,T-shirt,M ,Men,6, Black,15 ,23 ,45 
1/2022,10005969,Shoes,S ,Men,5,Blue,90 ,135 ,225 
1/2022,10012723,Dress,XL,Unisex,5, Green,87 ,131 ,218 
1/2022,10017001,Sweater,S ,Men,5,Blue,22 ,33 ,55 
1/2022,10012779,Sweater,XL,Unisex,4, Red,34 ,51 ,68 
1/2022,10013719,T-shirt,XL,Women,2, Red,55 ,83 ,55 
1/2022,10017589,Shoes,S,Men,5, Red,91 ,137 ,228 
1/2022,10004177,Sweater,M ,Men,5,Blue,100 ,150 ,250 
1/2022,10017359,Dress,S,Unisex,4, Beige,200 ,300 ,400 
1/2022,10004283,Sweater,M ,Men,5, Grey,150 ,225 ,375 
1/2022,10001271,Jeans,M ,Girls,6, Black,60 ,90 ,180 
1/2022,10017693,Sweater,S ,Men,5,Blue,100 ,150 ,250 
1/2022,10005967,T-shirt,XL,Men,5, Green,100 ,150 ,250 
1/2022,1001221,Dress,XXL,Women,5, Black,100 ,150 ,250 
1/2022,10001773,Shoes,M ,Men,3,,100 ,150 ,150 
1/2022,10012883,Jeans,M ,Men,5, Gold,50 ,75 ,125 
1/2022,10006045,Dress,S ,Men,5, Brown,20 ,30 ,50 
1/2022,10012969,Shoes,XL,Men,5, Silver,30 ,45 ,75 
1/2022,10013413,Dress,S ,Unisex,3,Blue,47 ,71 ,71 
1/2022,10012715,Jeans,XL,Unisex,3, Red,99 ,149 ,149 
1/2022,10014933,Jeans,XL,Women,3, Gold,99 ,149 ,149 
1/2022,10013361,Dress,S,Boys,3, White,45 ,68 ,68 
1/2022,10003469,Sweater,M ,Boys,3,Blue,100 ,150 ,150 
1/2022,10004145,Dress,S,Men,5, White,214 ,321 ,535 
1/2022,10017667,Sweater,M ,Men,5,,123 ,185 ,308 
1/2022,10005983,Dress,XXL,Men,5, Black,15 ,23 ,38 
1/2022,10004509,T-shirt,XL,Women,5,Blue,90 ,135 ,225 
1/2022,10003493,Shoes,S,Girls,3, White,87 ,131 ,131 
1/2022,10005909,Dress,S,Men,5, Grey,22 ,33 ,55 
1/2022,10003417,Sweater,M ,Boys,3, Black,34 ,51 ,51 
1/2022,10004121,Sweater,S ,Men,5,Blue,55 ,83 ,138 
1/2022,10017695,Jeans,XL,Men,5,Blue,91 ,137 ,228 
1/2022,10005997,Jeans,XXL,Men,5,Blue,100 ,150 ,250 
1/2022,10015145,Jeans,M ,Men,5, Charcoal,200 ,300 ,500 
1/2022,1001707,T-shirt,M ,Women,6, White,150 ,225 ,450 
1/2022,10001057,Dress,S ,Men,5, Red,60 ,90 ,150 
1/2022,10000761,Shoes,XL,Women,4,Blue,100 ,150 ,200 
1/2022,10014759,Shoes,S ,Women,4, Gold,100 ,150 ,200 
1/2022,10003843,Shoes,XL,Unisex,5, Gold,100 ,150 ,250 
1/2022,10013049,T-shirt,XL,Women,5, Green,100 ,150 ,250 
1/2022,10007611,Dress,S,Women,5, Black,50 ,75 ,125 
1/2022,10012805,Dress,M ,Unisex,4, Red,20 ,30 ,40 
1/2022,10014795,T-shirt,S,Women,3, Red,30 ,45 ,45 
1/2022,10013035,Jeans,M ,Women,5, Yellow,47 ,71 ,118 
1/2022,10013237,Jeans,M ,Unisex,4, Black,99 ,149 ,198 
1/2022,10004477,Shoes,S ,Women,5,Blue,99 ,149 ,248 
1/2022,10007743,Shoes,XL,Women,6, Pink,45 ,68 ,135 
1/2022,10003209,T-shirt,XXL,Boys,3, White,50 ,75 ,75 
